,3 min extraction,,,,,,
,,,,,,,
,,,,,,,
,50,ppb,,,,,
,,1,2,3,Average,Stdev,%RSD
,B,59161,55224,56881,57088.6666666667,1976.69834151125,3.46250570722371
,T,170054,156630,156165,160949.666666667,7888.01117730784,4.90091799546515
,E,491240,459191,449514,466648.333333333,21839.7260590268,4.68012516042276
,X,437317,407828,399888,415011,19721.2861396005,4.75199118567954
,,,,,,,
,,,,,,,
,100,ppb,,,,,
,,1,2,3,Average,Stdev,%RSD
,B,111066,117013,108629,112236,4312.71828433066,3.842544535025
,T,310724,323666,301278,311889.333333333,11239.4011109727,3.60365036881864
,E,896143,919784,859364,891763.666666667,30447.1348460464,3.41426052486026
,X,793715,820445,768898,794352.666666667,25779.4155545337,3.24533631424838
,,,,,,,
,,,,,,,
,200,ppb,,,,,
,,1,2,3,Average,Stdev,%RSD
,B,231037,225973,220675,225895,5181.44034029149,2.29373839185971
,T,639703,615910,618098,624570.333333333,13150.8568668864,2.1055846179405
,E,1853554,1753537,1778482,1795191,52059.9950345753,2.89996969874377
,X,1639858,1549073,1568382,1585771,47825.3285090652,3.01590384166851
,,,,,,,
,,,,,,,
,400,ppb,,,,,
,,1,2,3,Average,Stdev,%RSD
,B,442680,434168,439243,438697,4282.18670774641,0.97611488287962
,T,1258062,1210827,1226524,1231804.33333333,24056.1373942978,1.95291871795909
,E,3604806,3530511,3499296,3544871,54200.9891514906,1.52899750516988
,X,3162587,3108128,3085591,3118768.66666667,39585.5256922696,1.269267775945