,Concentration(ppb),Average,Stdev,%RSD
B,50,57088.6666666667,1976.69834151125,3.46250570722371
T,50,160949.666666667,7888.01117730784,4.90091799546515
E,50,466648.333333333,21839.7260590268,4.68012516042276
X,50,415011,19721.2861396005,4.75199118567954
B,100,112236,4312.71828433066,3.842544535025
T,100,311889.333333333,11239.4011109727,3.60365036881864
E,100,891763.666666667,30447.1348460464,3.41426052486026
X,100,794352.666666667,25779.4155545337,3.24533631424838
B,200,225895,5181.44034029149,2.29373839185971
T,200,624570.333333333,13150.8568668864,2.1055846179405
E,200,1795191,52059.9950345753,2.89996969874377
X,200,1585771,47825.3285090652,3.01590384166851
B,400,438697,4282.18670774641,0.97611488287962
T,400,1231804.33333333,24056.1373942978,1.95291871795909
E,400,3544871,54200.9891514906,1.52899750516988
X,400,3118768.66666667,39585.5256922696,1.269267775945