,Time(min),Average,Stdev,%RSD
B,0.5,88824.3333333333,3334.4853176065,3.75402234103249
T,0.5,256694.666666667,7029.45846657716,2.73845131177008
E,0.5,681330,13443.0744623393,1.97306363470555
X,0.5,561905.333333333,9020.06232424884,1.60526369642019
B,1.5,110155.333333333,3627.1396903529,3.29274995644293
T,1.5,315157.333333333,9339.64931532942,2.96348786066518
E,1.5,913533,18132.744386882,1.98490305077999
X,1.5,799170.666666667,12735.4275284866,1.59358045279689
B,3,112236,4312.71828433066,3.842544535025
T,3,311889.333333333,11239.4011109727,3.60365036881864
E,3,891763.666666667,30447.1348460464,3.41426052486026
X,3,794352.666666667,25779.4155545337,3.24533631424838
B,5,112236,4312.71828433066,3.842544535025
T,5,311889.333333333,11239.4011109727,3.60365036881864
E,5,891763.666666667,30447.1348460464,3.41426052486026
X,5,794352.666666667,25779.4155545337,3.24533631424838