month,day,year,deaths,date
1,1,2015,107,2015-01-01
1,2,2015,101,2015-01-02
1,3,2015,78,2015-01-03
1,4,2015,121,2015-01-04
1,5,2015,99,2015-01-05
1,6,2015,104,2015-01-06
1,7,2015,79,2015-01-07
1,8,2015,73,2015-01-08
1,9,2015,90,2015-01-09
1,10,2015,75,2015-01-10
1,11,2015,88,2015-01-11
1,12,2015,85,2015-01-12
1,13,2015,74,2015-01-13
1,14,2015,98,2015-01-14
1,15,2015,88,2015-01-15
1,16,2015,111,2015-01-16
1,17,2015,92,2015-01-17
1,18,2015,90,2015-01-18
1,19,2015,101,2015-01-19
1,20,2015,98,2015-01-20
1,21,2015,105,2015-01-21
1,22,2015,71,2015-01-22
1,23,2015,82,2015-01-23
1,24,2015,84,2015-01-24
1,25,2015,83,2015-01-25
1,26,2015,83,2015-01-26
1,27,2015,73,2015-01-27
1,28,2015,87,2015-01-28
1,29,2015,73,2015-01-29
1,30,2015,78,2015-01-30
1,31,2015,73,2015-01-31
2,1,2015,66,2015-02-01
2,2,2015,114,2015-02-02
2,3,2015,95,2015-02-03
2,4,2015,87,2015-02-04
2,5,2015,84,2015-02-05
2,6,2015,93,2015-02-06
2,7,2015,79,2015-02-07
2,8,2015,94,2015-02-08
2,9,2015,80,2015-02-09
2,10,2015,77,2015-02-10
2,11,2015,109,2015-02-11
2,12,2015,93,2015-02-12
2,13,2015,86,2015-02-13
2,14,2015,67,2015-02-14
2,15,2015,79,2015-02-15
2,16,2015,101,2015-02-16
2,17,2015,81,2015-02-17
2,18,2015,75,2015-02-18
2,19,2015,94,2015-02-19
2,20,2015,79,2015-02-20
2,21,2015,71,2015-02-21
2,22,2015,90,2015-02-22
2,23,2015,85,2015-02-23
2,24,2015,95,2015-02-24
2,25,2015,93,2015-02-25
2,26,2015,77,2015-02-26
2,27,2015,66,2015-02-27
2,28,2015,93,2015-02-28
3,1,2015,82,2015-03-01
3,2,2015,92,2015-03-02
3,3,2015,95,2015-03-03
3,4,2015,77,2015-03-04
3,5,2015,75,2015-03-05
3,6,2015,90,2015-03-06
3,7,2015,76,2015-03-07
3,8,2015,80,2015-03-08
3,9,2015,68,2015-03-09
3,10,2015,80,2015-03-10
3,11,2015,79,2015-03-11
3,12,2015,72,2015-03-12
3,13,2015,80,2015-03-13
3,14,2015,67,2015-03-14
3,15,2015,71,2015-03-15
3,16,2015,89,2015-03-16
3,17,2015,75,2015-03-17
3,18,2015,82,2015-03-18
3,19,2015,92,2015-03-19
3,20,2015,76,2015-03-20
3,21,2015,81,2015-03-21
3,22,2015,62,2015-03-22
3,23,2015,79,2015-03-23
3,24,2015,64,2015-03-24
3,25,2015,75,2015-03-25
3,26,2015,77,2015-03-26
3,27,2015,73,2015-03-27
3,28,2015,76,2015-03-28
3,29,2015,86,2015-03-29
3,30,2015,94,2015-03-30
3,31,2015,62,2015-03-31
4,1,2015,70,2015-04-01
4,2,2015,85,2015-04-02
4,3,2015,80,2015-04-03
4,4,2015,88,2015-04-04
4,5,2015,84,2015-04-05
4,6,2015,82,2015-04-06
4,7,2015,66,2015-04-07
4,8,2015,57,2015-04-08
4,9,2015,73,2015-04-09
4,10,2015,66,2015-04-10
4,11,2015,80,2015-04-11
4,12,2015,93,2015-04-12
4,13,2015,74,2015-04-13
4,14,2015,71,2015-04-14
4,15,2015,86,2015-04-15
4,16,2015,79,2015-04-16
4,17,2015,74,2015-04-17
4,18,2015,71,2015-04-18
4,19,2015,74,2015-04-19
4,20,2015,66,2015-04-20
4,21,2015,73,2015-04-21
4,22,2015,71,2015-04-22
4,23,2015,70,2015-04-23
4,24,2015,67,2015-04-24
4,25,2015,80,2015-04-25
4,26,2015,72,2015-04-26
4,27,2015,69,2015-04-27
4,28,2015,87,2015-04-28
4,29,2015,67,2015-04-29
4,30,2015,84,2015-04-30
5,1,2015,66,2015-05-01
5,2,2015,87,2015-05-02
5,3,2015,77,2015-05-03
5,4,2015,70,2015-05-04
5,5,2015,81,2015-05-05
5,6,2015,89,2015-05-06
5,7,2015,82,2015-05-07
5,8,2015,79,2015-05-08
5,9,2015,85,2015-05-09
5,10,2015,84,2015-05-10
5,11,2015,78,2015-05-11
5,12,2015,64,2015-05-12
5,13,2015,66,2015-05-13
5,14,2015,74,2015-05-14
5,15,2015,81,2015-05-15
5,16,2015,71,2015-05-16
5,17,2015,78,2015-05-17
5,18,2015,70,2015-05-18
5,19,2015,71,2015-05-19
5,20,2015,78,2015-05-20
5,21,2015,88,2015-05-21
5,22,2015,64,2015-05-22
5,23,2015,65,2015-05-23
5,24,2015,87,2015-05-24
5,25,2015,57,2015-05-25
5,26,2015,90,2015-05-26
5,27,2015,65,2015-05-27
5,28,2015,64,2015-05-28
5,29,2015,79,2015-05-29
5,30,2015,66,2015-05-30
5,31,2015,84,2015-05-31
6,1,2015,68,2015-06-01
6,2,2015,76,2015-06-02
6,3,2015,62,2015-06-03
6,4,2015,65,2015-06-04
6,5,2015,82,2015-06-05
6,6,2015,79,2015-06-06
6,7,2015,59,2015-06-07
6,8,2015,65,2015-06-08
6,9,2015,66,2015-06-09
6,10,2015,80,2015-06-10
6,11,2015,58,2015-06-11
6,12,2015,74,2015-06-12
6,13,2015,76,2015-06-13
6,14,2015,61,2015-06-14
6,15,2015,78,2015-06-15
6,16,2015,69,2015-06-16
6,17,2015,87,2015-06-17
6,18,2015,71,2015-06-18
6,19,2015,81,2015-06-19
6,20,2015,65,2015-06-20
6,21,2015,79,2015-06-21
6,22,2015,82,2015-06-22
6,23,2015,73,2015-06-23
6,24,2015,81,2015-06-24
6,25,2015,66,2015-06-25
6,26,2015,84,2015-06-26
6,27,2015,69,2015-06-27
6,28,2015,64,2015-06-28
6,29,2015,61,2015-06-29
6,30,2015,64,2015-06-30
7,1,2015,71,2015-07-01
7,2,2015,67,2015-07-02
7,3,2015,85,2015-07-03
7,4,2015,94,2015-07-04
7,5,2015,63,2015-07-05
7,6,2015,77,2015-07-06
7,7,2015,80,2015-07-07
7,8,2015,83,2015-07-08
7,9,2015,82,2015-07-09
7,10,2015,71,2015-07-10
7,11,2015,75,2015-07-11
7,12,2015,68,2015-07-12
7,13,2015,87,2015-07-13
7,14,2015,80,2015-07-14
7,15,2015,82,2015-07-15
7,16,2015,63,2015-07-16
7,17,2015,79,2015-07-17
7,18,2015,87,2015-07-18
7,19,2015,75,2015-07-19
7,20,2015,102,2015-07-20
7,21,2015,76,2015-07-21
7,22,2015,72,2015-07-22
7,23,2015,79,2015-07-23
7,24,2015,74,2015-07-24
7,25,2015,70,2015-07-25
7,26,2015,74,2015-07-26
7,27,2015,75,2015-07-27
7,28,2015,71,2015-07-28
7,29,2015,68,2015-07-29
7,30,2015,80,2015-07-30
7,31,2015,72,2015-07-31
8,1,2015,69,2015-08-01
8,2,2015,72,2015-08-02
8,3,2015,74,2015-08-03
8,4,2015,92,2015-08-04
8,5,2015,81,2015-08-05
8,6,2015,83,2015-08-06
8,7,2015,81,2015-08-07
8,8,2015,89,2015-08-08
8,9,2015,77,2015-08-09
8,10,2015,74,2015-08-10
8,11,2015,63,2015-08-11
8,12,2015,87,2015-08-12
8,13,2015,83,2015-08-13
8,14,2015,72,2015-08-14
8,15,2015,88,2015-08-15
8,16,2015,58,2015-08-16
8,17,2015,79,2015-08-17
8,18,2015,71,2015-08-18
8,19,2015,90,2015-08-19
8,20,2015,77,2015-08-20
8,21,2015,81,2015-08-21
8,22,2015,75,2015-08-22
8,23,2015,85,2015-08-23
8,24,2015,100,2015-08-24
8,25,2015,79,2015-08-25
8,26,2015,73,2015-08-26
8,27,2015,70,2015-08-27
8,28,2015,73,2015-08-28
8,29,2015,80,2015-08-29
8,30,2015,78,2015-08-30
8,31,2015,73,2015-08-31
9,1,2015,75,2015-09-01
9,2,2015,77,2015-09-02
9,3,2015,67,2015-09-03
9,4,2015,71,2015-09-04
9,5,2015,62,2015-09-05
9,6,2015,77,2015-09-06
9,7,2015,85,2015-09-07
9,8,2015,84,2015-09-08
9,9,2015,79,2015-09-09
9,10,2015,66,2015-09-10
9,11,2015,92,2015-09-11
9,12,2015,79,2015-09-12
9,13,2015,81,2015-09-13
9,14,2015,70,2015-09-14
9,15,2015,87,2015-09-15
9,16,2015,70,2015-09-16
9,17,2015,70,2015-09-17
9,18,2015,76,2015-09-18
9,19,2015,81,2015-09-19
9,20,2015,69,2015-09-20
9,21,2015,70,2015-09-21
9,22,2015,68,2015-09-22
9,23,2015,70,2015-09-23
9,24,2015,78,2015-09-24
9,25,2015,60,2015-09-25
9,26,2015,76,2015-09-26
9,27,2015,78,2015-09-27
9,28,2015,84,2015-09-28
9,29,2015,83,2015-09-29
9,30,2015,73,2015-09-30
10,1,2015,74,2015-10-01
10,2,2015,84,2015-10-02
10,3,2015,77,2015-10-03
10,4,2015,99,2015-10-04
10,5,2015,96,2015-10-05
10,6,2015,68,2015-10-06
10,7,2015,66,2015-10-07
10,8,2015,79,2015-10-08
10,9,2015,73,2015-10-09
10,10,2015,74,2015-10-10
10,11,2015,90,2015-10-11
10,12,2015,82,2015-10-12
10,13,2015,71,2015-10-13
10,14,2015,75,2015-10-14
10,15,2015,77,2015-10-15
10,16,2015,80,2015-10-16
10,17,2015,69,2015-10-17
10,18,2015,84,2015-10-18
10,19,2015,73,2015-10-19
10,20,2015,77,2015-10-20
10,21,2015,79,2015-10-21
10,22,2015,77,2015-10-22
10,23,2015,74,2015-10-23
10,24,2015,78,2015-10-24
10,25,2015,72,2015-10-25
10,26,2015,60,2015-10-26
10,27,2015,71,2015-10-27
10,28,2015,75,2015-10-28
10,29,2015,76,2015-10-29
10,30,2015,88,2015-10-30
10,31,2015,75,2015-10-31
11,1,2015,77,2015-11-01
11,2,2015,71,2015-11-02
11,3,2015,83,2015-11-03
11,4,2015,58,2015-11-04
11,5,2015,66,2015-11-05
11,6,2015,70,2015-11-06
11,7,2015,62,2015-11-07
11,8,2015,73,2015-11-08
11,9,2015,73,2015-11-09
11,10,2015,62,2015-11-10
11,11,2015,74,2015-11-11
11,12,2015,77,2015-11-12
11,13,2015,77,2015-11-13
11,14,2015,78,2015-11-14
11,15,2015,77,2015-11-15
11,16,2015,74,2015-11-16
11,17,2015,81,2015-11-17
11,18,2015,62,2015-11-18
11,19,2015,79,2015-11-19
11,20,2015,90,2015-11-20
11,21,2015,64,2015-11-21
11,22,2015,91,2015-11-22
11,23,2015,83,2015-11-23
11,24,2015,81,2015-11-24
11,25,2015,80,2015-11-25
11,26,2015,70,2015-11-26
11,27,2015,102,2015-11-27
11,28,2015,85,2015-11-28
11,29,2015,49,2015-11-29
11,30,2015,99,2015-11-30
12,1,2015,82,2015-12-01
12,2,2015,87,2015-12-02
12,3,2015,83,2015-12-03
12,4,2015,78,2015-12-04
12,5,2015,69,2015-12-05
12,6,2015,69,2015-12-06
12,7,2015,77,2015-12-07
12,8,2015,85,2015-12-08
12,9,2015,86,2015-12-09
12,10,2015,78,2015-12-10
12,11,2015,73,2015-12-11
12,12,2015,80,2015-12-12
12,13,2015,75,2015-12-13
12,14,2015,77,2015-12-14
12,15,2015,75,2015-12-15
12,16,2015,95,2015-12-16
12,17,2015,70,2015-12-17
12,18,2015,107,2015-12-18
12,19,2015,88,2015-12-19
12,20,2015,87,2015-12-20
12,21,2015,79,2015-12-21
12,22,2015,74,2015-12-22
12,23,2015,90,2015-12-23
12,24,2015,96,2015-12-24
12,25,2015,90,2015-12-25
12,26,2015,69,2015-12-26
12,27,2015,75,2015-12-27
12,28,2015,79,2015-12-28
12,29,2015,80,2015-12-29
12,30,2015,93,2015-12-30
12,31,2015,70,2015-12-31
1,1,2016,89,2016-01-01
1,2,2016,88,2016-01-02
1,3,2016,79,2016-01-03
1,4,2016,90,2016-01-04
1,5,2016,80,2016-01-05
1,6,2016,96,2016-01-06
1,7,2016,92,2016-01-07
1,8,2016,77,2016-01-08
1,9,2016,86,2016-01-09
1,10,2016,90,2016-01-10
1,11,2016,86,2016-01-11
1,12,2016,81,2016-01-12
1,13,2016,79,2016-01-13
1,14,2016,87,2016-01-14
1,15,2016,94,2016-01-15
1,16,2016,99,2016-01-16
1,17,2016,92,2016-01-17
1,18,2016,83,2016-01-18
1,19,2016,81,2016-01-19
1,20,2016,100,2016-01-20
1,21,2016,81,2016-01-21
1,22,2016,87,2016-01-22
1,23,2016,92,2016-01-23
1,24,2016,100,2016-01-24
1,25,2016,92,2016-01-25
1,26,2016,98,2016-01-26
1,27,2016,91,2016-01-27
1,28,2016,98,2016-01-28
1,29,2016,92,2016-01-29
1,30,2016,90,2016-01-30
1,31,2016,72,2016-01-31
2,1,2016,111,2016-02-01
2,2,2016,95,2016-02-02
2,3,2016,119,2016-02-03
2,4,2016,89,2016-02-04
2,5,2016,109,2016-02-05
2,6,2016,87,2016-02-06
2,7,2016,94,2016-02-07
2,8,2016,94,2016-02-08
2,9,2016,79,2016-02-09
2,10,2016,102,2016-02-10
2,11,2016,92,2016-02-11
2,12,2016,88,2016-02-12
2,13,2016,97,2016-02-13
2,14,2016,84,2016-02-14
2,15,2016,93,2016-02-15
2,16,2016,78,2016-02-16
2,17,2016,85,2016-02-17
2,18,2016,79,2016-02-18
2,19,2016,107,2016-02-19
2,20,2016,72,2016-02-20
2,21,2016,83,2016-02-21
2,22,2016,83,2016-02-22
2,23,2016,83,2016-02-23
2,24,2016,102,2016-02-24
2,25,2016,73,2016-02-25
2,26,2016,82,2016-02-26
2,27,2016,93,2016-02-27
2,28,2016,69,2016-02-28
2,29,2016,70,2016-02-29
3,1,2016,73,2016-03-01
3,2,2016,69,2016-03-02
3,3,2016,67,2016-03-03
3,4,2016,88,2016-03-04
3,5,2016,77,2016-03-05
3,6,2016,69,2016-03-06
3,7,2016,85,2016-03-07
3,8,2016,80,2016-03-08
3,9,2016,69,2016-03-09
3,10,2016,77,2016-03-10
3,11,2016,84,2016-03-11
3,12,2016,72,2016-03-12
3,13,2016,85,2016-03-13
3,14,2016,83,2016-03-14
3,15,2016,77,2016-03-15
3,16,2016,80,2016-03-16
3,17,2016,69,2016-03-17
3,18,2016,77,2016-03-18
3,19,2016,95,2016-03-19
3,20,2016,94,2016-03-20
3,21,2016,90,2016-03-21
3,22,2016,83,2016-03-22
3,23,2016,82,2016-03-23
3,24,2016,81,2016-03-24
3,25,2016,86,2016-03-25
3,26,2016,82,2016-03-26
3,27,2016,78,2016-03-27
3,28,2016,70,2016-03-28
3,29,2016,78,2016-03-29
3,30,2016,77,2016-03-30
3,31,2016,81,2016-03-31
4,1,2016,79,2016-04-01
4,2,2016,53,2016-04-02
4,3,2016,77,2016-04-03
4,4,2016,92,2016-04-04
4,5,2016,75,2016-04-05
4,6,2016,68,2016-04-06
4,7,2016,84,2016-04-07
4,8,2016,88,2016-04-08
4,9,2016,65,2016-04-09
4,10,2016,73,2016-04-10
4,11,2016,83,2016-04-11
4,12,2016,65,2016-04-12
4,13,2016,68,2016-04-13
4,14,2016,84,2016-04-14
4,15,2016,74,2016-04-15
4,16,2016,80,2016-04-16
4,17,2016,77,2016-04-17
4,18,2016,82,2016-04-18
4,19,2016,62,2016-04-19
4,20,2016,75,2016-04-20
4,21,2016,73,2016-04-21
4,22,2016,64,2016-04-22
4,23,2016,88,2016-04-23
4,24,2016,73,2016-04-24
4,25,2016,81,2016-04-25
4,26,2016,68,2016-04-26
4,27,2016,76,2016-04-27
4,28,2016,73,2016-04-28
4,29,2016,77,2016-04-29
4,30,2016,64,2016-04-30
5,1,2016,74,2016-05-01
5,2,2016,59,2016-05-02
5,3,2016,74,2016-05-03
5,4,2016,53,2016-05-04
5,5,2016,84,2016-05-05
5,6,2016,68,2016-05-06
5,7,2016,71,2016-05-07
5,8,2016,79,2016-05-08
5,9,2016,80,2016-05-09
5,10,2016,81,2016-05-10
5,11,2016,68,2016-05-11
5,12,2016,85,2016-05-12
5,13,2016,69,2016-05-13
5,14,2016,62,2016-05-14
5,15,2016,76,2016-05-15
5,16,2016,67,2016-05-16
5,17,2016,67,2016-05-17
5,18,2016,83,2016-05-18
5,19,2016,72,2016-05-19
5,20,2016,89,2016-05-20
5,21,2016,78,2016-05-21
5,22,2016,81,2016-05-22
5,23,2016,87,2016-05-23
5,24,2016,85,2016-05-24
5,25,2016,82,2016-05-25
5,26,2016,67,2016-05-26
5,27,2016,80,2016-05-27
5,28,2016,69,2016-05-28
5,29,2016,77,2016-05-29
5,30,2016,69,2016-05-30
5,31,2016,76,2016-05-31
6,1,2016,74,2016-06-01
6,2,2016,71,2016-06-02
6,3,2016,70,2016-06-03
6,4,2016,102,2016-06-04
6,5,2016,80,2016-06-05
6,6,2016,84,2016-06-06
6,7,2016,74,2016-06-07
6,8,2016,77,2016-06-08
6,9,2016,76,2016-06-09
6,10,2016,77,2016-06-10
6,11,2016,97,2016-06-11
6,12,2016,70,2016-06-12
6,13,2016,81,2016-06-13
6,14,2016,90,2016-06-14
6,15,2016,66,2016-06-15
6,16,2016,93,2016-06-16
6,17,2016,68,2016-06-17
6,18,2016,90,2016-06-18
6,19,2016,77,2016-06-19
6,20,2016,83,2016-06-20
6,21,2016,70,2016-06-21
6,22,2016,76,2016-06-22
6,23,2016,67,2016-06-23
6,24,2016,77,2016-06-24
6,25,2016,77,2016-06-25
6,26,2016,71,2016-06-26
6,27,2016,85,2016-06-27
6,28,2016,82,2016-06-28
6,29,2016,77,2016-06-29
6,30,2016,73,2016-06-30
7,1,2016,84,2016-07-01
7,2,2016,75,2016-07-02
7,3,2016,69,2016-07-03
7,4,2016,102,2016-07-04
7,5,2016,82,2016-07-05
7,6,2016,103,2016-07-06
7,7,2016,82,2016-07-07
7,8,2016,72,2016-07-08
7,9,2016,74,2016-07-09
7,10,2016,77,2016-07-10
7,11,2016,89,2016-07-11
7,12,2016,71,2016-07-12
7,13,2016,82,2016-07-13
7,14,2016,84,2016-07-14
7,15,2016,62,2016-07-15
7,16,2016,83,2016-07-16
7,17,2016,77,2016-07-17
7,18,2016,84,2016-07-18
7,19,2016,67,2016-07-19
7,20,2016,95,2016-07-20
7,21,2016,71,2016-07-21
7,22,2016,58,2016-07-22
7,23,2016,70,2016-07-23
7,24,2016,83,2016-07-24
7,25,2016,90,2016-07-25
7,26,2016,91,2016-07-26
7,27,2016,77,2016-07-27
7,28,2016,82,2016-07-28
7,29,2016,69,2016-07-29
7,30,2016,70,2016-07-30
7,31,2016,81,2016-07-31
8,1,2016,65,2016-08-01
8,2,2016,79,2016-08-02
8,3,2016,78,2016-08-03
8,4,2016,78,2016-08-04
8,5,2016,54,2016-08-05
8,6,2016,62,2016-08-06
8,7,2016,78,2016-08-07
8,8,2016,78,2016-08-08
8,9,2016,75,2016-08-09
8,10,2016,62,2016-08-10
8,11,2016,76,2016-08-11
8,12,2016,89,2016-08-12
8,13,2016,77,2016-08-13
8,14,2016,80,2016-08-14
8,15,2016,69,2016-08-15
8,16,2016,73,2016-08-16
8,17,2016,72,2016-08-17
8,18,2016,79,2016-08-18
8,19,2016,76,2016-08-19
8,20,2016,76,2016-08-20
8,21,2016,73,2016-08-21
8,22,2016,87,2016-08-22
8,23,2016,68,2016-08-23
8,24,2016,64,2016-08-24
8,25,2016,82,2016-08-25
8,26,2016,72,2016-08-26
8,27,2016,73,2016-08-27
8,28,2016,67,2016-08-28
8,29,2016,76,2016-08-29
8,30,2016,69,2016-08-30
8,31,2016,65,2016-08-31
9,1,2016,75,2016-09-01
9,2,2016,67,2016-09-02
9,3,2016,78,2016-09-03
9,4,2016,99,2016-09-04
9,5,2016,89,2016-09-05
9,6,2016,74,2016-09-06
9,7,2016,67,2016-09-07
9,8,2016,77,2016-09-08
9,9,2016,90,2016-09-09
9,10,2016,73,2016-09-10
9,11,2016,78,2016-09-11
9,12,2016,66,2016-09-12
9,13,2016,88,2016-09-13
9,14,2016,81,2016-09-14
9,15,2016,91,2016-09-15
9,16,2016,71,2016-09-16
9,17,2016,68,2016-09-17
9,18,2016,79,2016-09-18
9,19,2016,82,2016-09-19
9,20,2016,79,2016-09-20
9,21,2016,67,2016-09-21
9,22,2016,97,2016-09-22
9,23,2016,71,2016-09-23
9,24,2016,79,2016-09-24
9,25,2016,75,2016-09-25
9,26,2016,82,2016-09-26
9,27,2016,82,2016-09-27
9,28,2016,81,2016-09-28
9,29,2016,70,2016-09-29
9,30,2016,91,2016-09-30
10,1,2016,90,2016-10-01
10,2,2016,67,2016-10-02
10,3,2016,82,2016-10-03
10,4,2016,78,2016-10-04
10,5,2016,82,2016-10-05
10,6,2016,78,2016-10-06
10,7,2016,85,2016-10-07
10,8,2016,77,2016-10-08
10,9,2016,76,2016-10-09
10,10,2016,86,2016-10-10
10,11,2016,77,2016-10-11
10,12,2016,79,2016-10-12
10,13,2016,70,2016-10-13
10,14,2016,73,2016-10-14
10,15,2016,78,2016-10-15
10,16,2016,77,2016-10-16
10,17,2016,75,2016-10-17
10,18,2016,68,2016-10-18
10,19,2016,72,2016-10-19
10,20,2016,79,2016-10-20
10,21,2016,74,2016-10-21
10,22,2016,101,2016-10-22
10,23,2016,68,2016-10-23
10,24,2016,69,2016-10-24
10,25,2016,63,2016-10-25
10,26,2016,71,2016-10-26
10,27,2016,67,2016-10-27
10,28,2016,73,2016-10-28
10,29,2016,78,2016-10-29
10,30,2016,79,2016-10-30
10,31,2016,65,2016-10-31
11,1,2016,84,2016-11-01
11,2,2016,72,2016-11-02
11,3,2016,74,2016-11-03
11,4,2016,97,2016-11-04
11,5,2016,77,2016-11-05
11,6,2016,97,2016-11-06
11,7,2016,77,2016-11-07
11,8,2016,77,2016-11-08
11,9,2016,82,2016-11-09
11,10,2016,73,2016-11-10
11,11,2016,85,2016-11-11
11,12,2016,79,2016-11-12
11,13,2016,79,2016-11-13
11,14,2016,90,2016-11-14
11,15,2016,79,2016-11-15
11,16,2016,76,2016-11-16
11,17,2016,78,2016-11-17
11,18,2016,84,2016-11-18
11,19,2016,100,2016-11-19
11,20,2016,82,2016-11-20
11,21,2016,91,2016-11-21
11,22,2016,71,2016-11-22
11,23,2016,87,2016-11-23
11,24,2016,82,2016-11-24
11,25,2016,66,2016-11-25
11,26,2016,91,2016-11-26
11,27,2016,87,2016-11-27
11,28,2016,89,2016-11-28
11,29,2016,90,2016-11-29
11,30,2016,88,2016-11-30
12,1,2016,77,2016-12-01
12,2,2016,88,2016-12-02
12,3,2016,67,2016-12-03
12,4,2016,78,2016-12-04
12,5,2016,82,2016-12-05
12,6,2016,106,2016-12-06
12,7,2016,80,2016-12-07
12,8,2016,87,2016-12-08
12,9,2016,103,2016-12-09
12,10,2016,102,2016-12-10
12,11,2016,89,2016-12-11
12,12,2016,107,2016-12-12
12,13,2016,87,2016-12-13
12,14,2016,70,2016-12-14
12,15,2016,85,2016-12-15
12,16,2016,78,2016-12-16
12,17,2016,83,2016-12-17
12,18,2016,99,2016-12-18
12,19,2016,78,2016-12-19
12,20,2016,84,2016-12-20
12,21,2016,91,2016-12-21
12,22,2016,109,2016-12-22
12,23,2016,96,2016-12-23
12,24,2016,125,2016-12-24
12,25,2016,85,2016-12-25
12,26,2016,107,2016-12-26
