C,N,Cat
-20.45,11.06,O. latipes
-19.32,12.66,O. latipes
-19.16,11.245,O. latipes
-26.83886,7.71657,C. japonica
-26.98986,9.31757,C. japonica
-27.81586,8.52657,C. japonica
-13.79886,7.21858,P. acuta
-13.76686,5.14358,P. acuta
-11.68586,4.67258,P. acuta
-24.95586,13.51157,C.fluminea
-24.72586,12.55757,C.fluminea
-23.9451,11.6922,C.fluminea
-20.4,7.36,D. magna
-21.2,7.42,D. magna
-22.1,8.5,D. magna
-34.155,2.31058,P. stratiotes
-34.598,2.68435,P. stratiotes
-34.105,3.0828,P. stratiotes
-24.713,10.82558,S. borealis
-24.043,8.19958,S. borealis
-26.212,10.70458,S. borealis
-15.203,11.04458,Sediment
-15.599,12.52058,Sediment
-16.335,12.22858,Sediment